Wavelength (nm),ureaNoCyt,ureaM0,ureaM1,ureaM2,ureaM3,ureaM4,ureaM5,ureaM6,ureaM7,ureaM8,ureaM9,ureaM10,NATA1,kpi-water2
422,-0.077378,0.470729,0.320105,0.706717,0.778069,0.625609,0.704005,0.538385,0.512646,0.472138,0.519958,0.677991,0.216659,-0.032529
421,-0.077504,0.520445,0.352755,0.750345,0.810782,0.670997,0.739509,0.582325,0.554786,0.505042,0.552492,0.717764,0.220291,-0.033258
420,-0.077642,0.573358,0.388432,0.793205,0.852704,0.720791,0.780557,0.630022,0.600132,0.543158,0.591377,0.767162,0.223334,-0.032206
419,-0.076598,0.63038,0.426874,0.842164,0.895639,0.773462,0.821418,0.680157,0.651491,0.585766,0.636187,0.82149,0.227333,-0.032668
418,-0.077837,0.692037,0.469333,0.892367,0.945145,0.829266,0.869436,0.735093,0.706638,0.636946,0.689331,0.888609,0.232165,-0.032482
417,-0.077191,0.746651,0.508192,0.934028,0.991259,0.882471,0.919997,0.788968,0.763191,0.685576,0.741524,0.957062,0.236092,-0.033098
416,-0.076434,0.807098,0.556075,0.989819,1.049027,0.941461,0.971791,0.849643,0.827005,0.752326,0.811685,1.041836,0.241303,-0.032264
415,-0.078341,0.866526,0.603046,1.03727,1.103776,1.00657,1.035551,0.917668,0.89587,0.822564,0.883836,1.14161,0.246076,-0.033408
414,-0.076818,0.917423,0.647899,1.079134,1.168049,1.064057,1.085976,0.973683,0.961653,0.890797,0.960774,1.223088,0.24957,-0.034609
413,-0.077526,0.958969,0.696093,1.125713,1.226416,1.122078,1.142147,1.041529,1.035366,0.964605,1.03702,1.331128,0.253387,-0.03363
412,-0.078759,0.998426,0.741158,1.169339,1.290256,1.176608,1.204938,1.104764,1.105788,1.044324,1.119472,1.426756,0.257252,-0.034313
411,-0.078084,1.024389,0.779371,1.197872,1.339763,1.223916,1.254791,1.153765,1.161383,1.099484,1.178829,1.502778,0.258517,-0.034892
410,-0.077536,1.04097,0.814884,1.228601,1.397582,1.270828,1.297364,1.196693,1.219189,1.162041,1.244888,1.572667,0.263162,-0.03396
409,-0.077591,1.053173,0.841277,1.24595,1.420997,1.30309,1.338365,1.232899,1.268701,1.215241,1.283889,1.616556,0.264606,-0.034544
408,-0.077161,1.054167,0.857812,1.261018,1.44732,1.320309,1.368504,1.265394,1.301021,1.241817,1.33272,1.654994,0.264626,-0.034703
407,-0.07855,1.054817,0.867441,1.266837,1.473747,1.32659,1.370181,1.272366,1.314823,1.266766,1.351686,1.67612,0.266538,-0.036269
406,-0.077811,1.041188,0.868664,1.252666,1.46387,1.331569,1.377115,1.280659,1.316307,1.274933,1.346564,1.679788,0.265267,-0.035398
405,-0.078118,1.032545,0.859499,1.246408,1.458256,1.318836,1.370627,1.266653,1.314341,1.266969,1.3492,1.659717,0.265117,-0.034724
404,-0.077996,1.011731,0.84263,1.225111,1.444611,1.287626,1.356651,1.242741,1.289475,1.250103,1.320365,1.632615,0.264341,-0.036757
403,-0.077375,0.994513,0.820151,1.204582,1.42408,1.262417,1.337955,1.217587,1.265486,1.218392,1.296183,1.596021,0.266362,-0.036515
402,-0.077654,0.97029,0.795182,1.178823,1.389972,1.233922,1.29933,1.186268,1.222309,1.185972,1.268629,1.550571,0.265382,-0.035832
401,-0.075792,0.955174,0.763878,1.139125,1.354897,1.191572,1.253849,1.14181,1.183058,1.144799,1.210912,1.499864,0.264675,-0.0364
400,-0.076943,0.93472,0.738405,1.106284,1.324867,1.146129,1.228197,1.100588,1.139637,1.100848,1.169198,1.439729,0.263882,-0.036428
399,-0.076166,0.915026,0.705604,1.077507,1.279969,1.107686,1.185736,1.056294,1.092708,1.058394,1.135704,1.389746,0.262724,-0.035937
398,-0.076931,0.886559,0.671705,1.039326,1.233609,1.060321,1.152083,1.015408,1.04556,1.011671,1.08237,1.326663,0.261562,-0.036401
397,-0.0772,0.863728,0.64139,1.008606,1.190306,1.023546,1.111158,0.974659,0.998828,0.967587,1.037402,1.282143,0.259522,-0.037446
396,-0.07761,0.835512,0.607964,0.975497,1.157291,0.981097,1.075167,0.92696,0.954559,0.925965,0.992831,1.221086,0.257351,-0.035854
395,-0.077855,0.800289,0.577382,0.937389,1.11245,0.938595,1.032495,0.884593,0.9115,0.880283,0.945995,1.173426,0.254921,-0.037657
394,-0.077335,0.77476,0.551355,0.911744,1.079082,0.903405,0.99938,0.850083,0.86889,0.844323,0.912603,1.121318,0.253206,-0.036947
393,-0.078127,0.741293,0.521869,0.875279,1.044584,0.866968,0.967268,0.811243,0.831123,0.807705,0.868688,1.08548,0.250948,-0.036327
392,-0.078066,0.708205,0.496209,0.849585,1.006378,0.835086,0.935518,0.775985,0.792822,0.770783,0.835266,1.03909,0.247832,-0.036391
391,-0.077387,0.677271,0.47382,0.827595,0.986749,0.805984,0.913718,0.748802,0.763798,0.744698,0.807645,1.003435,0.247772,-0.038376
390,-0.076324,0.647138,0.451996,0.80568,0.961282,0.773068,0.886282,0.719167,0.730951,0.715521,0.777978,0.9685,0.245788,-0.037622
389,-0.077364,0.616671,0.429779,0.779348,0.93076,0.743528,0.859762,0.691255,0.703183,0.689836,0.746724,0.938881,0.242909,-0.038077
388,-0.077728,0.586797,0.412535,0.759016,0.908451,0.724595,0.841065,0.667308,0.680238,0.664918,0.727183,0.909396,0.241655,-0.036848
387,-0.07701,0.56387,0.393949,0.737741,0.890645,0.698651,0.819917,0.642245,0.652785,0.643945,0.702133,0.883466,0.240332,-0.037798
386,-0.075453,0.538328,0.37505,0.720881,0.869222,0.677201,0.798694,0.618586,0.62781,0.617178,0.676292,0.853154,0.23969,-0.038756
385,-0.076087,0.516365,0.359048,0.705137,0.852062,0.656596,0.782101,0.596908,0.606449,0.599054,0.657902,0.827599,0.236925,-0.039902
384,-0.075562,0.496817,0.343994,0.684794,0.830162,0.634415,0.759805,0.575539,0.583579,0.576508,0.63649,0.802554,0.235624,-0.039076
383,-0.075485,0.475622,0.327572,0.670075,0.809707,0.61388,0.744539,0.556527,0.563502,0.559592,0.618726,0.778608,0.235731,-0.040194
382,-0.075753,0.45805,0.315684,0.655007,0.797166,0.596661,0.728149,0.540001,0.543797,0.541269,0.599401,0.760009,0.234795,-0.039534
381,-0.074452,0.440945,0.301347,0.641235,0.779595,0.580745,0.712927,0.521651,0.52639,0.523128,0.582493,0.73752,0.233515,-0.03967
380,-0.075545,0.424071,0.287829,0.626686,0.764173,0.562165,0.697133,0.505401,0.50802,0.506435,0.564102,0.716543,0.231668,-0.039584
379,-0.07637,0.411272,0.278604,0.613683,0.743683,0.551467,0.689498,0.49094,0.492671,0.491797,0.548966,0.700399,0.230721,-0.039931
378,-0.078455,0.396745,0.267877,0.599071,0.726758,0.537031,0.677112,0.475153,0.478269,0.474721,0.534919,0.68389,0.22983,-0.04012
377,-0.077254,0.385727,0.258432,0.593532,0.719894,0.524481,0.665078,0.465311,0.465935,0.464039,0.522797,0.668955,0.229942,-0.042037
376,-0.075929,0.377208,0.250449,0.585229,0.715214,0.51518,0.652837,0.454035,0.454094,0.454535,0.51396,0.655495,0.230813,-0.040784
375,-0.076091,0.367509,0.242239,0.576866,0.704153,0.50298,0.644697,0.441816,0.444178,0.445431,0.501718,0.641358,0.230005,-0.041791
